Price,Close,High,Low,Open,Volume
Ticker,NDX,NDX,NDX,NDX,NDX
Date,,,,,
2021-12-27,16567.5,16567.5,16567.5,16567.5,0
2021-12-28,16488.66015625,16488.66015625,16488.66015625,16488.66015625,0
2021-12-29,16491.009765625,16491.009765625,16491.009765625,16491.009765625,0
2021-12-30,16429.099609375,16429.099609375,16429.099609375,16429.099609375,0
2021-12-31,16320.080078125,16320.080078125,16320.080078125,16320.080078125,0
2022-01-03,16501.76953125,16501.76953125,16501.76953125,16501.76953125,0
2022-01-04,16279.73046875,16279.73046875,16279.73046875,16279.73046875,0
2022-01-05,15771.7802734375,15771.7802734375,15771.7802734375,15771.7802734375,0
2022-01-06,15765.3603515625,15765.3603515625,15765.3603515625,15765.3603515625,0
2022-01-07,15592.1904296875,15592.1904296875,15592.1904296875,15592.1904296875,0
2022-01-10,15614.4296875,15614.4296875,15614.4296875,15614.4296875,0
2022-01-11,15844.1201171875,15844.1201171875,15844.1201171875,15844.1201171875,0
2022-01-12,15905.099609375,15905.099609375,15905.099609375,15905.099609375,0
2022-01-13,15495.6201171875,15495.6201171875,15495.6201171875,15495.6201171875,0
2022-01-14,15611.58984375,15611.58984375,15611.58984375,15611.58984375,0
2022-01-18,15210.759765625,15210.759765625,15210.759765625,15210.759765625,0
2022-01-19,15047.83984375,15047.83984375,15047.83984375,15047.83984375,0
2022-01-20,14846.4599609375,14846.4599609375,14846.4599609375,14846.4599609375,0
2022-01-21,14438.400390625,14438.400390625,14438.400390625,14438.400390625,0
2022-01-24,14509.580078125,14509.580078125,14509.580078125,14509.580078125,0
2022-01-25,14149.1201171875,14149.1201171875,14149.1201171875,14149.1201171875,0
2022-01-26,14172.759765625,14172.759765625,14172.759765625,14172.759765625,0
2022-01-27,14003.1103515625,14003.1103515625,14003.1103515625,14003.1103515625,0
2022-01-28,14454.6103515625,14454.6103515625,14454.6103515625,14454.6103515625,0
2022-01-31,14930.0498046875,14930.0498046875,14930.0498046875,14930.0498046875,0
2022-02-01,15019.6796875,15019.6796875,15019.6796875,15019.6796875,0
2022-02-02,15139.740234375,15139.740234375,15139.740234375,15139.740234375,0
2022-02-03,14501.1103515625,14501.1103515625,14501.1103515625,14501.1103515625,0
2022-02-04,14694.349609375,14694.349609375,14694.349609375,14694.349609375,0
2022-02-07,14571.25,14571.25,14571.25,14571.25,0
2022-02-08,14747.0302734375,14747.0302734375,14747.0302734375,14747.0302734375,0
2022-02-09,15056.9599609375,15056.9599609375,15056.9599609375,15056.9599609375,0
2022-02-10,14705.6396484375,14705.6396484375,14705.6396484375,14705.6396484375,0
2022-02-11,14253.83984375,14253.83984375,14253.83984375,14253.83984375,0
2022-02-14,14268.58984375,14268.58984375,14268.58984375,14268.58984375,0
2022-02-15,14620.8203125,14620.8203125,14620.8203125,14620.8203125,0
2022-02-16,14603.6396484375,14603.6396484375,14603.6396484375,14603.6396484375,0
2022-02-17,14171.740234375,14171.740234375,14171.740234375,14171.740234375,0
